idFrom,idTo,value,start_block,end_block
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x43a6eddce37fa8d8a35aeb080069fd83b97361ed,13665.9808000,12996616,12996715
0x28c6c06298d514db089934071355e5743bf21d60,0x930db8a3c50949f7ba57bd4b01a747e534769c04,9837.9629630,12996616,12996715
0x9696f59e4d72e237be84ffd425dcad154bf96976,0x247e283a1d23dba494e1f321258648886f993937,15528.5150900,12996616,12996715
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xcd631003f94ccd3ba191cd2dc541f933c243f626,5349772.8050000,12996616,12996715
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xff71e1bd33c7709aed5062576151dbb19522f9da,29963.9917700,12996616,12996715
0xa9c199831874101009926bee5c9b2c30468e2929,0x8d90113a1e286a5ab3e496fbd1853f265e5913c6,3643.6899860,12996616,12996715
0xa9c199831874101009926bee5c9b2c30468e2929,0x8d90113a1e286a5ab3e496fbd1853f265e5913c6,3643.6899860,12996616,12996715
0x95d555ce09d770879a7ebc3af27e848090228744,0x6b9353bf4f90abdb218979b7596fafc3c6c6ac64,2092.7825570,12996616,12996715
0xb02f1329d6a6acef07a763258f8509c2847a0a3e,0x337b5b148c02acf20e3632ae0798f70119ce8075,74410.7939000,12996616,12996715
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x6e06a6bd0caade747b74700417ae90396acf2bec,10609.5679000,12996616,12996715
0x691e3cbb2a8f504fc650f21c9af6226051340559,0xd3ff85b7335ab1b6454188570e6e27dc295c97d8,24641.3723000,12996616,12996715
0x5256eb7840caea85f96780280665d63086fa2cd5,0x27b2a35b078a2f0bf9f7b2fc0e8113587645b1de,10716.7352500,12996616,12996715
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xb78ef4e6046e3fe4f1592c242b797ad81b0e569e,7523.1481480,12996616,12996715
0x28c6c06298d514db089934071355e5743bf21d60,0x618550e3fab6231fd28453b52bb44c47b0510f99,20790.4663900,12996616,12996715
0xd1669ac6044269b59fa12c5822439f609ca54f41,0x6dbc102d57db6cb1944303107626d7d53b8454be,21108.8391600,12996616,12996715
0xd30b438df65f4f788563b2b3611bd6059bff4ad9,0x6f2ae20f6a38257ff1a4c09fb7ff9b260ea33563,3922.3251030,12996616,12996715
0xd30b438df65f4f788563b2b3611bd6059bff4ad9,0xb5ee08003f90283cba7c90006ee1fe449e47585a,51633.2304500,12996616,12996715
0xc7807e24338b41a34d849492920f2b9d0e4de2cd,0x3c33ee5940ec10ee331aaeaa113e3c226a1becd8,15787.0370400,12996616,12996715
0x0a98fb70939162725ae66e626fe4b52cff62c2e5,0xdce8ced875c9635a1c5a6e97184bbf1a724a8ba9,5358.3676270,12996616,12996715
0xa059b236fe28fb7a987cb69bbdbf6543568e57c8,0x28c6c06298d514db089934071355e5743bf21d60,80022.0764700,12996616,12996715
0x95b564f3b3bae3f206aa418667ba000afafacc8a,0x439e62cb187d3a649e973e3f1c956fff0465e7f4,3259803.6690000,12996616,12996715
