idFrom,idTo,value
0x493ee7c4734749c54000ec2711715ccdf78e4abb,0xb452f7b5aaeb8f4f5651d168b2e0b589afb91267,0.00000
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xd3d2e2692501a5c9ca623199d38826e513033a17,0.02663
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.02731
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.02731
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xd3d2e2692501a5c9ca623199d38826e513033a17,0.02311
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.02236
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.02236
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.02847
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.02847
0x3dd81863779991d88d7f186d41b8bea1a569553d,0x5228acced9e5becfa4802505bfa715c8a111722f,0.00029
0xc6ee20d4097bbbf84419f680953319e1f6f610a3,0x3765521db364ee269e9540970fd21e5a3e825699,0.00000
0xb57f9c9d5dbf6902542f993cc08ca9aacfd8b02c,0xd3d2e2692501a5c9ca623199d38826e513033a17,0.00000
0xe93381fb4c4f14bda253907b18fad305d799241a,0x384a17f472eb3b82c2a22b200ec74e16d66f02f2,0.00063
0x59a5208b32e627891c389ebafc644145224006e8,0xc8c7fae708003907eae2319c8cbd63481a16ff1c,0.00016
0x3470447f3cecffac709d3e783a307790b0208d60,0x4a137fd5e7a256ef08a7de531a17d0be0cc7b6b6,0.00000
0x13ed102801f80df032001e6a7495f9320eb7dc4d,0x5d6e1744c32d9b5a355fbed5d5a577180d31ff87,0.01906
0x8f0d3f92af47622206692fb06b3740e2f0a2b7d3,0x4f6742badb049791cd9a37ea913f2bac38d01279,0.00515
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.02857
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.02857
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xd3d2e2692501a5c9ca623199d38826e513033a17,0.02282
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.03492
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.03492
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,0x0000006daea1723962647b7e189d311d757fb793,0.00034
0x5d6e1744c32d9b5a355fbed5d5a577180d31ff87,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0.01906
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.01556
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.01556
0x493ee7c4734749c54000ec2711715ccdf78e4abb,0x384a17f472eb3b82c2a22b200ec74e16d66f02f2,0.00018
0x28c6c06298d514db089934071355e5743bf21d60,0xba40a529bafcaad31504a42d09098ca743a0ecc4,0.00065
0xba40a529bafcaad31504a42d09098ca743a0ecc4,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0.00065
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x7ef152b8b6d09b5dc53779f7648302760b63e533,0.00058
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x7b7a767d5081973f92102375d6ad81ae3a7ed05a,0.00017
0x28c6c06298d514db089934071355e5743bf21d60,0xf1a67d70c1f9c400423bf5024009b4348ae498b3,0.00162
0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdafd66636e2561b0284edde37e42d192f2844d40,0.00000
0xbe1db3e0187d23c5e0c1c5d421c7a567b0296a38,0x28c6c06298d514db089934071355e5743bf21d60,0.02344
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,0xff8210dfa458439a03662f8d480a1baf51f34b1e,0.00055
0x7b7a767d5081973f92102375d6ad81ae3a7ed05a,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0.00017
0xe127cca699523770032114a8550db0a9e2942bc6,0x815492811db4abc26ea3d282bdce38c8f5a371be,0.00010
0xb739d0895772dbb71a89a3754a160269068f0d45,0xfddc0bfdbb88a59ee24786ed7f4f883109a0babe,0.00008
0x815492811db4abc26ea3d282bdce38c8f5a371be,0xedcd6e0ec4d2136d36847a3c0b5ae1232b66eab3,0.00000
0x2fa103d8d88dc2d7da24fc723a3465fb00b0479c,0x38613f3733408cd97a4253b8492974b7d3a574ef,0.00000
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x2c884a8cd7f7f9107ca58df6f49bd22f4a6be5a2,0.00021
0x24ba1542f8a0a20e8251d096213384cfb0ee3dbc,0x36836b40b9f82767dc515f542b69b5a627ecb469,0.00034
0x059b3c61f44510b6e43eaa9e86656479e2c55040,0xf0654d8d2b9437887b77eb01d51ce36cc906fb50,0.00000
0x153903c5e415212afcc5e835782990ad55260a5b,0x23e5354dac99925f45990dcc5aab962b6eae0e72,0.00000
