addressFrom,addressTo,value
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0xaac5feb8a243776cbd5ced4c99730e2cc7d8fd8d,0.0055429
0x737a43adf2b9d1366d59ac790347fa3403df3214,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0.0000000
0xe04bfb172a20b1c3445c33feb8eb0cb650d2243b,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0.0109819
0x0000000000000000000000000000000000000000,0x951211b0ece0bfaf8474a28e7e193ee805a1c706,34.3106287
0xc8ddbbd6a6b846c1753290b62e18f9f51c6fbb53,0x1ebc9d454445e6734ded87f3095bd41ff86d593c,4.9403645
0xccf04c53648c44bbf85bd23bb8f5667c303a4f73,0x60939e9f713faf73469f2b174872b29d2a541279,0.0063705
0xbdb41118f0d4fc6860706d94ce6634e06aa85aea,0xa12431d0b9db640034b0cdfceef9cce161e62be4,0.0250496
0x5ef16d26dfe3e31711d5091e27d0c8150f03daa8,0x8705f5c54b3a864903fd84388b637e8622bff5a7,0.2224330
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xa0ddea94a1c76181ab8bbfdf6a2c2353cbe3ca05,0.0026614
0x28c6c06298d514db089934071355e5743bf21d60,0xf6d5fce7074269ff8d909e34e0f07c880d127a9d,0.2283563
0x9725bdd039fcfe6dee3de5398c3ba06113390aec,0xa5407eae9ba41422680e2e00537571bcc53efbfd,4.4763190
0x3efd3391a0601eaa093647f911c653d77c11e3fd,0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,0.0864118
0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,0xb0e3a1a88cb9974148ec00d0ff738b717b0ba79f,0.0228738
0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,0x4b58e5181dde0535133a1716c2d1f4b059f0a1ba,0.0004575
0x77f226e8a8e0115d409860d7bff2e973d675ab1d,0xdf765c9c7070be0aea8298daa615fc711ff28602,0.0717801
0xd4ad5d62dce1a8bf661777a5c1df79bd12ac8f1d,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0.0000000
0xf6e78f919d41027a6f1cd46ba1331ed6ff851e1e,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,0.0136698
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x8554a20c86b873aab10365a1f4342208628d1bf9,0.1559673
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,0xae477e884011c4bcd5584a01bdf02aa4de540aba,0.0000047
0x503828976d22510aad0201ac7ec88293211d23da,0xc82aa1bfeadf0dbc9bda2999e4a45bf176030b0e,0.0005078
0x58285b88951de1c9a5255ddfde28a68b30ee7559,0x672c973155c46fc264c077a41218ddc397bb7532,0.5083056
0x952301979e09f839e58717b65624feb688bfb0b2,0xe632ded5195e945a31f56d674aab0c0c9e7e812c,0.0325116
0xafab37e854e2edb2aa9e2830c6bfcd3eef5c4c32,0x34d7d7aaf50ad4944b70b320acb24c95fa2def7c,0.0000000
0x6c6bc977e13df9b0de53b251522280bb72383700,0xdef1c0ded9bec7f1a1670819833240f027b25eff,4.7955609
0x8f4e793b10480bbca85f8b60c93ee4dcead42355,0x28c6c06298d514db089934071355e5743bf21d60,0.0055151
0x9cdddce5b047098aeb3351a949d719451e086cd9,0x0000000000000000000000000000000000000000,0.2541195
0x59a5208b32e627891c389ebafc644145224006e8,0x74ce38ca0c03b57c17ddd6235bebb1821fd096fd,0.0023823
0x0075f029648ffbd2026a7df1e9eff27ebc90ca65,0x1f07e41d367b04dc74ef9e661a9f9e590096116b,0.0000001
0x070d2e943e630d337fb1207688a18f1b479334ce,0x503828976d22510aad0201ac7ec88293211d23da,0.4538526
0x991beba2fdbdfaa8129576a854e319e36b673ff5,0xea7952fac7ff6e997d895c1566599b86b91444c0,0.0157170
0xca7445ea346b099be94d7fecca2979734f690ba1,0x0000000000000000000000000000000000000000,0.8651216
0x3fda25f27211a138adf211f4c060f2149674be6d,0x87ec535aa2e4670b9edceff1862840d41086949c,0.0127076
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0xafca44164f7f5168cd1fc6bfe828d88338190fbf,0.0029327
0x1edc316d2fef52c0e02bb370a276b67c35c83777,0x022c23e79715a60b98b14cfec6e16da3c301b33e,0.0772625
0xfaf8077ba5acd31a86f8a15ac35fbe76e44fed45,0x0000000000000000000000000000000000000000,1.5730104
0xfa7d7a0858a45c1b3b7238522a0c0d123900c118,0xd4ad5d62dce1a8bf661777a5c1df79bd12ac8f1d,0.4555882
0x736177479577717fc0b723bd27f0cfad96144481,0x503828976d22510aad0201ac7ec88293211d23da,0.0002895
0x62608acbfb4a571c9a86b8204496bae3982c265c,0x34d7d7aaf50ad4944b70b320acb24c95fa2def7c,0.0000000
0xd03da0e83208dd1baa96c525197bf4c1caa497ad,0xfbd473ac636adb847304aca58021b6d3cc642171,0.2641646
0x6c6bc977e13df9b0de53b251522280bb72383700,0xe019b48e08a238ebe9f7107f8327b60803a4ba67,0.0000000
0xa9f82e6b92ff8aa41d1f805e2744623fbea28419,0x48c04ed5691981c42154c6167398f95e8f38a7ff,0.0153762
0x9c681972e7b7bd0c386046729799462c23bfb0ab,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0.1786663
0xad63e4d4be2229b080d20311c1402a2e45cf7e75,0x34d7d7aaf50ad4944b70b320acb24c95fa2def7c,0.0000000
0xfb1b89404ec88a580d6b0cd89358027c83860252,0x28c6c06298d514db089934071355e5743bf21d60,0.0027957
0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,0x464e5b65a5ecf2813c13561b7f022b112afac7aa,0.0086753
0xe03fc814257f75a1fc6655ce76afb9a0588bf619,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0.0098357
0x2b39fed6cc2bad303afb4be17405b8a7bbefc128,0x4f062658eaaf2c1ccf8c8e36d6824cdf41167956,0.8285924
0x738688d9d7f7b79f101140ad7b4813828217f305,0x27ddd9a367441a3c85621472aa1efceca9c99aae,0.0101661
0x59a5208b32e627891c389ebafc644145224006e8,0x1390ffc2b5646182780e0096cf72df172728deeb,0.0293710
0x73a49ea14e36fd854dadd65601c0fd1efe461bfe,0x0000000000000000000000000000000000000000,0.1954260
0x2731e7a0947e7e18d17e757af64cd438987b64cd,0xb2c27886a43e635cad1a76205bed3adc0d13c7c9,0.0004872
0x6f0784344fe67eaf46d74171f5469274b690648f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0.0000381
0x98e932a163812d80cf76708be51958900cadb0b8,0x28c6c06298d514db089934071355e5743bf21d60,0.0250341
0x0cdd68298cde947b67184e69d35afe9399355b75,0x74de5d4fcbf63e00296fd95d33236b9794016631,0.0025415
0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,0x8b6e6e7b5b3801fed2cafd4b22b8a16c2f2db21a,0.0000064
0x67ae28ae87627893191f2a564697b8a82b1565d1,0x28c6c06298d514db089934071355e5743bf21d60,0.0046256
0x03e29802efe2e20719d606d3168bc5b5ab8eeeca,0x34d7d7aaf50ad4944b70b320acb24c95fa2def7c,0.0000000
0x9e26279a64bea57ac111ef0b166d81348d9e058d,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0.0635382
0x4b9cce0e6c7abe8a3c26f513c06517f667b3d36a,0x0000000000000000000000000000000000000000,0.0104288
0x1a1d137ea486f6f345c37bc408672a63c852b986,0x28c6c06298d514db089934071355e5743bf21d60,0.0303203
0xe8fe355df3987200d04cf17a8fbeb9f7d085aed9,0x9cd83be15a79646a3d22b81fc8ddf7b7240a62cb,0.1016611
0x4b9d0663acb7a774c327b679d423993c2a11a263,0xe592427a0aece92de3edee1f18e0157c05861564,0.0000142
0x932a824a4d3d0680e0b352de150e6f212b8ac841,0xb1eecfea192907fc4bf9c4ce99ac07186075fc51,0.0009250
0x227c0848cdad83320db28f0e9dee100355f070b6,0x26b4b107dce673c00d59d71152136327cf6dfebf,10.2741334
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xe1341b23c3d11a9d0221ac5b7ab0e14cc8d378fa,0.0671842
0x43888c549e729b4d9cce0e22f5417cad7b87f259,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0.0011938
0x59a5208b32e627891c389ebafc644145224006e8,0x100e85ee114436af59d3975f9f6fc768923adfd5,0.1435975
0x8db15ffe139ad1e864f664a2084ed70526b5d4f2,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0.0059726
0xc035cb753825ace8c4e85446c9a2e7fe0665334a,0x1037fa1f40b69c9266c4aeb2abcedc7553614b4c,0.0540415
0xdfee68a9adb981cd08699891a11cabe10f25ec44,0xfbc24cd5dea5570f1d65022009f7ad9f7d3f8ade,0.0002254
0x28c6c06298d514db089934071355e5743bf21d60,0xd4fe95dfc236bcbb9350640693d9bac9ace69bb4,0.1397338
0x0000000000000000000000000000000000000000,0xac53894b305fe80c9236a3c12e6f244c38dbf8f8,0.0142326
0xece21fba63f383a9d8b9507d2d43cc00b83f57db,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0.0026154
0x42ee06b7b2075834a7d7eb22ffaca3bd55e677e7,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,63.3729065
0x503828976d22510aad0201ac7ec88293211d23da,0x00c39e2a5147d9ff53aae7b1844a9588ae0f8eb1,0.0061896
0x0da6bc3555a4a66381c25c03eb8b8c392751ca1d,0x503828976d22510aad0201ac7ec88293211d23da,0.0468373
0x46340b20830761efd32832a74d7169b29feb9758,0x5c16a3aa4fcc3cdce529a08493b7a7a7ca42241c,0.0121882
0x641e8274ce7513e2df215fcad97515165019c497,0xfcdc3d7086938bc5373b3a5dc9963c96e94c0920,0.0254153
0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,0x0303ccc827c1306ca2ae86efdd51caa68ec181c6,1.2867516
0xa54c1862c8da866db66d263d2e351bf1f7a5b44a,0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,0.0005052
0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,0x6b41d394e2dff2de63f62959a79dac372379dd54,10.5181139
0x28c6c06298d514db089934071355e5743bf21d60,0x266f340692c5a330509b091b560de9df9ec36dcc,0.0066010
0x7a74fb6bd364b9b5ef69605a3d28327da8087aa0,0x063e3ce6c27c5b5e77722bc7abed01a1f5078ec6,0.1656671
0x2475be34e74a9ac648d2024b63447012e883fbda,0x74de5d4fcbf63e00296fd95d33236b9794016631,0.0000482
0x8699746ce9635fbc853a556f6839c3183ca99aef,0xe93381fb4c4f14bda253907b18fad305d799241a,0.5083056
0xe82906b6b1b04f631d126c974af57a3a7b6a99d9,0xb60654233c0e224d2e3e09f69c7b4f4dad95124b,0.0000498
0xe84e129c72e9f5434750584029d32da6d72a6d54,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,50830.5611000
0x6c6bc977e13df9b0de53b251522280bb72383700,0xb77d5b099daaa8c31fab946ba7acb40c7aef77de,0.0000000
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc2adda861f89bbb333c90c492cb837741916a225,0.0000001
0x6727727aa0500c08ebd5f60cd75421eafb5472ff,0x2d21b2a821d8864a52b3d187425908849c532adc,0.2511563
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x33feeab59499e8840eca8a2288436308a89bc851,0.1151566
0x6727727aa0500c08ebd5f60cd75421eafb5472ff,0x3a6ddacaf50485346ec8b0f9426a65d3d57a0a20,0.0002595
0xea22e820a89ba3e188f91966f6841b9902d964c7,0x647579959b86fd66c2d966b657755ab953f9d3ef,0.0205426
0x7c5bae6bc84ae74954fd5672feb6fb31d2182ec6,0xa5407eae9ba41422680e2e00537571bcc53efbfd,0.0219700
0x44a621d80cc87fee1926d0b8b729c48016838d07,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,0.0240672
0xe8e6fc402c0f62d54afef6d0acb1d55515521426,0x503828976d22510aad0201ac7ec88293211d23da,0.0010166
0x89450074a0a7db28143067626d1c1ef45cfb9696,0x77b3db771ff6d8a4505f30a71386d483d576e23e,0.0127076
0x8997534edf299214ba3380683ca05bf9035bd74a,0xe82906b6b1b04f631d126c974af57a3a7b6a99d9,0.0127076
0xe29436d45b53a6d785b20b089ad07996a7e18b1b,0xbcbc59cf69e5e11b695155837215c8acdd5853aa,0.0508306
0x12c5118d468c20a117e8ef7e229a9c7b56e1df46,0x34d7d7aaf50ad4944b70b320acb24c95fa2def7c,0.0000000
0x2809a563647952e25d00b8929846eb248fefe506,0x8f3ea61f56eb69a4bbb10af6f6d1ed8820a7f3c7,1.5757474
0x8506d946cc63d1f1f3a303d68b0da64597cd64f3,0x05767d9ef41dc40689678ffca0608878fb3de906,0.0176444
0xfe1d7341d50e4fa4727b309911853c0e743f107c,0xefb47fcfcad4f96c83d4ca676842fb03ef20a477,0.0042078
