idFrom,idTo,value,start_block,end_block
0xf4c710d758e48cfee8acd2b7257ee9616920853d,0x06df721ad661166f8cd491cad3f445bbda53eb00,82283.0932800,12970018,12970117
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0xc0b93624ccfda664328b89dc65cb0098ddeecb7e,73139.5084900,12970018,12970117
0xd1669ac6044269b59fa12c5822439f609ca54f41,0x0b9d40c59686d4d1f3b7777551c0b1f841c4ec3a,13762.2116300,12970018,12970117
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,0xff32652175059ed234f6fd9fe80e31fa5ad44545,39482.8103600,12970018,12970117
0xcb732c7aa236512d8e58a1785f6b5582038a724d,0xaa72b85b544d33ddcf96e0c22e1dab0edd62490c,21931.9397700,12970018,12970117
0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xe76f98dd109804e467c0e514e7a76b6204562018,1631.3871740,12970018,12970117
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xc4f21632e4c17fc974c4fb190a52a2a83b58ca92,1932.1164910,12970018,12970117
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0x912190a0f942df51863c723684e6e08fc2385960,864.5543553,12970018,12970117
0xf73c3c65bde10bf26c2e1763104e609a41702efe,0x5ac2368ba4460254b9a2c2270bb60281101c10a6,42866.9410200,12970018,12970117
0x36f30034ef50395a191dcaca4f8ad883c4512a23,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,45434.1997200,12970018,12970117
0xc166fb16321f320022d2b98eae85de2f05429e6e,0x28c6c06298d514db089934071355e5743bf21d60,153142.1468000,12970018,12970117
0xdfd6c0b05e18dc434e4ccb26cec23f4200aa6e22,0x650eb0123bd24b85488265e62ad6dca4bb53057b,2187714.3350000,12970018,12970117
0xd17f798c1a3acba92e0d452d6bb4ed92b1caded9,0xe86cc440548b93aeee1ed0fbe958a863daf1d418,428669.4102000,12970018,12970117
0x4278e9d39d270a31d59fce97a32d94d381bcdc3f,0xe59cd29be3be4461d79c0881d238cbe87d64595a,4359.4924130,12970018,12970117
0x1621c4f772b284dd71052e882e197366e1faa942,0x9bac32d4f3322bc7588bb119283bad7073145355,4798538173000000.0000000,12970018,12970117
0xeee28d484628d41a82d01e21d12e2e78d69920da,0xe78d52399282e9ffe666f6619b31b0ba130cd6ae,3000.6858710,12970018,12970117
0x598e83d5a2729b1e9ad5a2c6c738ee8b7aea535d,0x95b564f3b3bae3f206aa418667ba000afafacc8a,315622.6795000,12970018,12970117
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xdfcbf61b7b70c903bf74e535c0b0a3e11369ef68,290123.4568000,12970018,12970117
0xfdb16996831753d5331ff813c29a93c76834a0ad,0x6033e1307bbcde4d7e4e7554ca6d9ac77e1328a9,27949.2455400,12970018,12970117
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xe2e114ab4318d5c50afb7d40be36eaf9af48b46b,219364.9939000,12970018,12970117
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x382cf76c38ee6a36df4ad8afb554d7c52dfc72da,2143.3470510,12970018,12970117
0xd32f9d18b6de67329bfbe8bd9a38eb5964256b04,0x779905428478d4357762a60ccd21bd2772bf3023,62542.8669400,12970018,12970117
0xb8d7b021772b76df5fd18a20d1a3daebf8615630,0xd0f4bdb01fe8b1090e67202ca71db81468dd0bc9,157194.3118000,12970018,12970117
0x90b15926f3c0bd4592bf835888a8093b0c06527a,0x30cea35f7a76e855dc1a77fa66002a7c7f738dd2,59692.2153600,12970018,12970117
0xc333e80ef2dec2805f239e3f1e810612d294f771,0xa05347e082697c4f1a226d850a2b53bde7ed094b,14434611.4100000,12970018,12970117
0x46340b20830761efd32832a74d7169b29feb9758,0x223c059d67ef391345d446b97e8c8d66dba55042,7630.3155010,12970018,12970117
0x0e2e17f40d770e25f34a9e35ea19a772ca5936ec,0xf1edd08559a521aeb0d7a09432351a80c44fe1ce,15642146.7800000,12970018,12970117
0x292f04a44506c2fd49bac032e1ca148c35a478c8,0xa447d1d167ebc55607d439ce1966832ec9510c7d,9470.5874060,12970018,12970117
0xe59cd29be3be4461d79c0881d238cbe87d64595a,0x4e70095e61b5aa3b33a28bc3518cfc3e886a9775,324838.1645000,12970018,12970117
0x819f3960aecc4d625fa9c9bebec210cd31153c6c,0xe187b117d2014987fcfe67f57028a58a53e2059d,4286694.1020000,12970018,12970117
0x52a5dbab152e00c3496a6175cb403a7cacda555e,0xfebfd47f5310b643cfcce3a7a96acfb93af49181,3740.3549380,12970018,12970117
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xa5600708f55e09ad7e0c9d33ae8dd51289b20d1d,428669.4102000,12970018,12970117
