idFrom,idTo,value,start_block,end_block
0x008d44a22df16518ea360dacdea5fb8cf6717a9e,0x37192b07b8455e417df26d193089e26090b8bfb8,21647.8052100,12969218,12969317
0x5bcbdfb6cc624b959c39a2d16110d1f2d9204f72,0xde1166299e99cc694259a7feebed4cc25d0feaf6,2143.3470510,12969218,12969317
0xeee28d484628d41a82d01e21d12e2e78d69920da,0x97b0460e644eaebab5a7e5c5bb4a6ce36aa63d35,31935.8710600,12969218,12969317
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x913c641c67afd037f7c2b6c32bcf03dedd149ea0,34778688.7000000,12969218,12969317
0x6753818a769f2024a454fd471d663fac4ddaeefb,0x3c0d3449ce15e846dfb8e51dc847b23f762a1f1d,1286.0082300,12969218,12969317
0x3c02290922a3618a4646e3bbca65853ea45fe7c6,0x70cee9392aa1752890ef9f308c36f88fbff54e2f,223266.2889000,12969218,12969317
0xf8a95b2409c27678a6d18d950c5d913d5c38ab03,0x7db7fd0ffb3535942f880b282a119fdc6d97bc4d,643004115.2000000,12969218,12969317
0x10d79cde2dd353735b43e8cddb677952ae845ce2,0x551782150cd2aeb87639fd3bda46c4e06b95857d,64086.0768200,12969218,12969317
0xfd8deec1c39b40a977aaebe9cc6d97854b53a7ef,0x6b71dcaa3fb9a4901491b748074a314dad9e980b,4286.6941020,12969218,12969317
0xe89de7638af4ff0ed7806525477fdf84559644eb,0x382ffce2287252f930e1c8dc9328dac5bf282ba1,710.7441915,12969218,12969317
0xe89de7638af4ff0ed7806525477fdf84559644eb,0x382ffce2287252f930e1c8dc9328dac5bf282ba1,710.7441915,12969218,12969317
0xe89de7638af4ff0ed7806525477fdf84559644eb,0x382ffce2287252f930e1c8dc9328dac5bf282ba1,710.7441915,12969218,12969317
0xe89de7638af4ff0ed7806525477fdf84559644eb,0x382ffce2287252f930e1c8dc9328dac5bf282ba1,710.7441915,12969218,12969317
0xd3ed83f2950c303842debd1348ed189e395d4f65,0xc88ac988a655b91b70def427c8778b4d43f2048d,121017446800000000.0000000,12969218,12969317
0xce15e726f05d32a362616b06e8060349fdc31666,0x3058ef90929cb8180174d74c507176cca6835d73,12860082300000000000.0000000,12969218,12969317
0xce15e726f05d32a362616b06e8060349fdc31666,0x3058ef90929cb8180174d74c507176cca6835d73,12860082300000000000.0000000,12969218,12969317
0x6f189a4de58db2b34837fc2e9c845a0e86ee2e77,0xfdb16996831753d5331ff813c29a93c76834a0ad,75843.7538400,12969218,12969317
0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,0xa14572d8a4e8f505d97db3c0b7ee35de389da2f0,19290.1234600,12969218,12969317
0xfa55a33ab577ceecfd2aae839b9f0e719958c434,0xed0a2bf29619f8976a13899df972239ab801d1a8,43081.2757200,12969218,12969317
0x6d1e2a05f52278c4fc6a0e178fa12c2ca2f918f0,0x8d90113a1e286a5ab3e496fbd1853f265e5913c6,3858.0246910,12969218,12969317
0x6d1e2a05f52278c4fc6a0e178fa12c2ca2f918f0,0x8d90113a1e286a5ab3e496fbd1853f265e5913c6,3858.0246910,12969218,12969317
0xa8dfd5387595547abda4c1b142174ccfc0546378,0xd0505e94ba79fd1f736228f1a157f6ab7d87cccd,8573388.2030000,12969218,12969317
0xd760b9cb76124df30d80bcc237c44edad4b20110,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,29934.0920800,12969218,12969317
0x572194ee13feb7080f0be7fa41e6da203965d830,0xde1fa98d035b7a9563ab89743f056d95b9a0f0d9,502271.9479000,12969218,12969317
0xe3bc5f68fcc22b3ebfb78ff2eb2c22d9a85f164f,0x37aad561d20f8fe9a4c2c0676286db80b38da306,3493.6556930,12969218,12969317
0x42bffc93299a0493642394c17d387a458c577798,0xc10f46418d059296a352907d567565d46b459688,4202053.3260000,12969218,12969317
0x7e1da98c0e0b66c8d83a1504397b2311eb74e41f,0x3ecfd2b0d3ac8418464add2c8285c7b6834880db,9.1199417,12969218,12969317
0xc5c8e7448b76c1803b7028789e6a619bea5cd94b,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,964506172800000000.0000000,12969218,12969317
0xc5c8e7448b76c1803b7028789e6a619bea5cd94b,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,964506172800000000.0000000,12969218,12969317
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,0x9284913d0f3e63c32710b87ef82f5a0f2e54697e,98593.9643300,12969218,12969317
0x0093e5f2a850268c0ca3093c7ea53731296487eb,0xff81113ccf80eabf3ad513bdc4b5fe00cf63ece6,46317.7297700,12969218,12969317
0x0055e75217ca5cb5aa8290cd966f9d85751a7993,0x3d8612afa45d814543feefe5b2ccb58bcdfe7821,1772.7223940,12969218,12969317
0x55ab46414374214c1b2251bf1604cee85cf8f24d,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,330850.0226000,12969218,12969317
